PolicyExecTime,AveragePolicyStd,NumTrajs,MinReturn,Time,Perplexity,Entropy,AverageReturn,ExplainedVariance,ProcessExecTime,MeanKLBefore,MaxReturn,EnvExecTime,dLoss,Iteration,AverageDiscountedReturn,LossBefore,ItrTime,MeanKL,LossAfter,StdReturn
0.06566905975341797,1.01929,40,-10688.4424785,6.001420259475708,4.21246,1.43805,-10587.5873221,0.967740750729,0.03069472312927246,0.0,-10390.6623163,0.6123931407928467,0.00570907253399,4,-3913.42965197,1.81198114291e-08,0.9033949375152588,0.0871312990785,-0.00570905441418,59.6242357561
0.08365797996520996,1.0279,41,-10763.6210972,7.265573263168335,4.24803,1.44646,-10414.103336,0.788730841864,0.03210759162902832,0.0,5.27599722554,0.920149564743042,0.000453778439616,5,-3849.06220332,-1.4999458342e-09,1.2604608535766602,0.00300852162763,-0.000453779939562,1648.19448582
0.0653066635131836,1.01794,40,-10738.6690371,8.23753046989441,4.20686,1.43672,-10655.9889295,0.984426799402,0.029645681381225586,0.0,-10438.7907423,0.6192808151245117,0.00530942357332,6,-3938.53297443,1.59740451977e-08,0.9669170379638672,0.0847939178348,-0.00530940759927,56.3222261583
0.07668113708496094,1.0086,40,-10769.1134632,9.205940008163452,4.16825,1.4275,-10675.3519183,0.999927699454,0.03024578094482422,0.0,-10460.7243006,0.6255600452423096,0.0385441356599,7,-3945.63690961,2.09808348473e-08,0.9631187915802002,0.0807810649276,-0.0385441146791,59.3135217443
0.06079554557800293,1.00359,40,-10704.0416827,10.071852207183838,4.14757,1.42252,-10581.0389083,0.999903255714,0.027332067489624023,0.0,-10314.2835535,0.5834078788757324,0.0246013285518,8,-3910.90267928,-4.29153423909e-09,0.8615469932556152,0.0761013329029,-0.0246013328433,81.4144059379
0.10878396034240723,0.983753,41,-10641.4964118,11.015692710876465,4.06558,1.40256,-9724.95754663,0.655494006244,0.025369882583618164,0.0,3.9129289904,0.671271800994873,0.0129640284897,9,-3594.62064803,1.91824227613e-08,0.9399409294128418,0.062475156039,-0.0129640093073,2734.33656415
0.1029348373413086,1.02607,42,-10655.7101012,12.406907320022583,4.24047,1.44467,-7514.82448842,0.312423601791,0.0409846305847168,0.0,3.96716089378,0.9794330596923828,0.0118259688869,10,-2777.55917609,1.11202915321e-07,1.3878061771392822,0.0929604768753,-0.011825857684,4755.05124866
0.10689949989318848,0.980013,46,-10612.9361166,13.743166446685791,4.05013,1.39875,-3850.29217941,0.047095867178,0.04023623466491699,0.0,3.16458864665,0.9726290702819824,0.00598655219955,11,-1422.89076194,-2.7028640659e-08,1.33164644241333,0.0601629950106,-0.00598657922819,5032.13519166
0.07226920127868652,0.962269,53,-10528.2267986,14.747207403182983,3.9768,1.38048,-590.893429977,0.0402157692192,0.0334625244140625,0.0,2.83910869444,0.7568845748901367,0.00601694645957,12,-217.913059688,8.4437470349e-09,1.0009222030639648,0.0682447403669,-0.00601693801582,2419.39354933
0.11484026908874512,0.927926,52,-10479.9511639,16.021995544433594,3.83487,1.34414,-199.424081458,0.00617982522217,0.0430300235748291,0.0,3.00280794581,0.9158720970153809,0.00567318421172,13,-72.9611859447,-8.69540439652e-09,1.2709784507751465,0.0543775744736,-0.00567319290712,1439.56181155
